field_id,lon,lat,area_ha
settat_336520,-7.096143,33.259512,1.083
settat_337611,-7.129123,33.194592,2.020
settat_337628,-7.117626,33.195210,1.322
settat_337717,-7.129090,33.197897,1.349
settat_338756,-7.365911,33.027996,0.511
settat_341646,-7.297371,33.047356,0.696
settat_343861,-7.361107,33.010270,0.725
settat_347213,-7.371214,32.994178,0.811
settat_350375,-7.185513,33.070698,1.125
settat_351263,-7.370076,32.970859,0.838
settat_352035,-7.399703,32.960244,0.750
settat_352537,-7.334753,32.963276,0.714
settat_353491,-7.397895,33.016359,0.718
settat_354472,-7.384351,33.041816,0.894
settat_355911,-7.158091,33.108006,1.303
settat_355975,-7.158515,33.123937,1.416
settat_356500,-7.116333,33.111947,0.681
settat_356977,-7.130340,33.094218,0.410
settat_357853,-7.138867,33.454280,0.519
settat_358003,-7.127284,33.450728,1.262
settat_358046,-7.168390,33.422432,0.975
settat_358093,-7.161122,33.418793,0.653
settat_358851,-7.128529,33.416562,0.647
settat_359886,-7.213481,33.092946,0.843
settat_360563,-7.204373,33.094753,1.222
settat_361683,-7.153331,33.167121,0.749
settat_361956,-7.128443,33.168209,0.882
settat_364862,-7.417076,33.162816,0.579
settat_365210,-7.392007,33.185810,1.486
settat_366311,-7.409734,33.137275,0.727
settat_367100,-7.377078,33.181401,0.476
settat_367639,-7.314716,33.179774,0.657
settat_368869,-7.374363,33.106144,2.018
settat_369677,-7.296870,33.106515,0.541
settat_372486,-7.243721,33.164161,1.564
settat_372561,-7.233838,33.167279,1.104
settat_373642,-7.199639,33.144395,0.828
settat_375029,-7.268117,33.104157,0.653
settat_376240,-7.231988,33.096201,1.095
settat_376353,-7.217233,33.092693,0.914
settat_377911,-7.214255,33.364280,0.718
settat_378835,-7.238854,33.326462,0.623
settat_382183,-7.147857,33.404788,0.934
settat_382912,-7.117558,33.372421,0.412
settat_383960,-7.435938,33.070510,1.399
settat_384128,-7.433436,33.063691,1.084
settat_386810,-7.398239,32.987883,0.549
settat_386905,-7.423364,32.974839,0.427
settat_387240,-7.263905,33.469819,0.482
settat_387514,-7.250984,33.481655,0.593
settat_389951,-7.178074,33.468572,0.519
settat_390027,-7.177445,33.488843,1.127
settat_390575,-7.263379,33.436719,0.616
settat_391423,-7.203073,33.438248,0.942
settat_394032,-7.158560,33.415420,0.574
settat_394370,-7.279814,32.908043,0.522
settat_394959,-7.171165,33.029775,1.637
settat_395292,-7.404049,32.864615,0.583
settat_397022,-7.234144,33.048230,0.518
settat_398923,-7.264157,33.016525,0.682
settat_399943,-7.183690,32.987591,0.757
settat_401742,-7.188281,32.999468,0.468
settat_403179,-7.260938,32.933037,0.583
settat_403273,-7.242589,32.936699,1.018
settat_404895,-7.365095,32.918027,0.417
settat_409155,-7.342808,32.893284,0.775
settat_409699,-7.327331,32.890414,0.558
settat_410793,-7.387790,32.903070,0.499
settat_413660,-6.992811,33.096949,0.518
settat_415044,-7.115667,32.975400,1.033
settat_415847,-7.097497,32.982006,0.717
settat_417410,-7.037985,33.038960,0.469
settat_420118,-6.954893,33.030182,1.382
settat_420589,-7.038105,33.055633,0.808
settat_422779,-7.004750,33.009281,1.470
settat_423099,-6.985861,32.978749,0.589
settat_423489,-6.994250,32.986298,1.206
settat_424098,-6.936812,33.034615,1.582
settat_425466,-6.954571,33.132081,1.019
settat_427305,-7.398159,32.894324,1.065
settat_427728,-7.416238,32.924823,0.584
settat_428891,-7.207531,33.011923,0.786
settat_430040,-7.138032,33.044078,1.092
settat_430044,-7.140516,33.043597,0.586
settat_431471,-7.083546,33.027753,0.556
