pair_id,province,year,image_a,image_b,lat_a,lon_a,lat_b,lon_b
settat_107263,Settat,2025,Settat/2025/32.66271_-7.52136_2025_Settat.jpg,,32.662708,-7.521359,,
settat_108234,Settat,2025,Settat/2025/32.70999_-7.59336_2025_Settat.jpg,,32.709986,-7.593364,,
settat_108436,Settat,2025,Settat/2025/32.71294_-7.59068_2025_Settat.jpg,,32.712941,-7.590676,,
settat_109443,Settat,2025,Settat/2025/32.71788_-7.52847_2025_Settat.jpg,,32.717879,-7.528468,,
settat_110115,Settat,2025,Settat/2025/32.71390_-7.51293_2025_Settat.jpg,,32.713899,-7.512925,,
settat_110578,Settat,2025,Settat/2025/32.72319_-7.53857_2025_Settat.jpg,,32.723189,-7.538575,,
settat_111356,Settat,2025,Settat/2025/32.71796_-7.55859_2025_Settat.jpg,,32.717964,-7.558589,,
settat_111668,Settat,2025,Settat/2025/32.74196_-7.54642_2025_Settat.jpg,,32.741961,-7.54642,,
settat_112421,Settat,2025,Settat/2025/32.67168_-7.54763_2025_Settat.jpg,,32.671677,-7.54763,,
settat_115497,Settat,2025,Settat/2025/32.59631_-7.50384_2025_Settat.jpg,,32.596308,-7.50384,,
settat_120265,Settat,2025,Settat/2025/32.73494_-7.41215_2025_Settat.jpg,,32.734939,-7.412149,,
settat_123290,Settat,2025,Settat/2025/32.74095_-7.48917_2025_Settat.jpg,,32.740946,-7.489167,,
settat_124739,Settat,2025,Settat/2025/32.74911_-7.40030_2025_Settat.jpg,,32.74911,-7.400301,,
settat_127491,Settat,2025,Settat/2025/32.69367_-7.36803_2025_Settat.jpg,,32.693673,-7.368035,,
settat_127710,Settat,2025,Settat/2025/32.68435_-7.37487_2025_Settat.jpg,,32.684355,-7.374866,,
settat_127830,Settat,2025,Settat/2025/32.71838_-7.29005_2025_Settat.jpg,,32.718376,-7.290046,,
settat_128604,Settat,2025,Settat/2025/32.75295_-7.29314_2025_Settat.jpg,,32.75295,-7.293138,,
settat_129041,Settat,2025,Settat/2025/32.72453_-7.31900_2025_Settat.jpg,,32.724531,-7.319002,,
settat_133368,Settat,2025,Settat/2025/32.78065_-7.71632_2025_Settat.jpg,,32.780648,-7.716322,,
settat_133413,Settat,2025,Settat/2025/32.77474_-7.71592_2025_Settat.jpg,,32.774739,-7.715921,,
settat_134945,Settat,2025,Settat/2025/32.56835_-7.44919_2025_Settat.jpg,,32.568355,-7.449195,,
settat_137125,Settat,2025,Settat/2025/33.02017_-7.43880_2025_Settat.jpg,,33.020171,-7.438803,,
settat_140514,Settat,2025,Settat/2025/32.75872_-7.69685_2025_Settat.jpg,,32.758722,-7.696853,,
settat_141488,Settat,2025,Settat/2025/32.85145_-7.67507_2025_Settat.jpg,,32.851448,-7.675066,,
settat_142020,Settat,2025,Settat/2025/32.85722_-7.69731_2025_Settat.jpg,,32.857217,-7.697306,,
settat_142548,Settat,2025,Settat/2025/32.83816_-7.63514_2025_Settat.jpg,,32.838159,-7.635136,,
settat_142879,Settat,2025,Settat/2025/32.85919_-7.64342_2025_Settat.jpg,,32.859187,-7.643415,,
settat_143244,Settat,2025,Settat/2025/32.78027_-7.69572_2025_Settat.jpg,,32.780273,-7.695716,,
settat_143562,Settat,2025,Settat/2025/32.78667_-7.68504_2025_Settat.jpg,,32.786667,-7.685042,,
settat_144250,Settat,2025,Settat/2025/32.80542_-7.62693_2025_Settat.jpg,,32.805417,-7.626935,,
settat_145805,Settat,2025,Settat/2025/32.83069_-7.71042_2025_Settat.jpg,,32.830693,-7.710425,,
settat_146406,Settat,2025,Settat/2025/32.76680_-7.62216_2025_Settat.jpg,,32.766797,-7.622163,,
settat_146861,Settat,2025,Settat/2025/32.76205_-7.68242_2025_Settat.jpg,,32.762053,-7.682419,,
settat_147049,Settat,2025,Settat/2025/32.85647_-7.71300_2025_Settat.jpg,,32.856469,-7.712997,,
settat_147437,Settat,2025,Settat/2025/32.86108_-7.57344_2025_Settat.jpg,,32.861081,-7.573436,,
settat_147575,Settat,2025,Settat/2025/32.85758_-7.56209_2025_Settat.jpg,,32.857578,-7.562094,,
settat_149360,Settat,2025,Settat/2025/32.70722_-7.73329_2025_Settat.jpg,,32.707219,-7.733287,,
